text,true_emotion,pred_0,pred_1,pred_5
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness,sadness,sadness
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy,joy,joy
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy,joy,joy
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness,sadness,sadness
Nothing worse than an uber driver that can't drive. ,fear,anger,anger,anger
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking",fear,anger,anger,anger
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger,anger,anger
An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka,fear,joy,joy,joy
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger,anger,anger
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,fear,joy,joy,joy
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger,anger,anger
That's an awful miss from Rooney.,fear,sadness,sadness,sadness
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",fear,sadness,sadness,sadness
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear,anger,anger,anger
"Honestly, there are some awful people on the internet... smh...",fear,anger,sadness,sadness
Nothing worse than an uber driver that can't drive. #awful,fear,anger,anger,anger
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy,joy,joy
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",fear,anger,sadness,sadness
Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,fear,anger,anger,anger
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness,sadness,sadness
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger,anger,anger
"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring.",joy,fear,fear,fear
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger,anger,anger
@trashcami this cured my depression,sadness,joy,joy,joy
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger,anger,anger
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,anger,anger,fear
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy,joy,joy
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger,anger,anger
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",sadness,joy,joy,joy
